----------------------------------
LEDAFLOW Trends result file
----------------------------------
Created:,2026-07-13T06:23:21
LedaFlow version:,2.11.271
Case name:,case_final_no_offset
Case type:,1D-2ph
Case uuid:,0af4c941-f466-4ab2-9905-f902631a5bcf

Time,MFR - gas@Line 1 P 500m,MFR - oil@Line 1 P 500m,MFR - bubbles@Line 1 P 500m,MFR - droplets@Line 1 P 500m,MFR - total gas@Line 1 P 500m,MFR - total liquid@Line 1 P 500m,MFR - total@Line 1 P 500m,Pressure@Line 1 P 500m,MFR - gas@Line 1 P 8500m,MFR - oil@Line 1 P 8500m,MFR - bubbles@Line 1 P 8500m,MFR - droplets@Line 1 P 8500m,MFR - total gas@Line 1 P 8500m,MFR - total liquid@Line 1 P 8500m,MFR - total@Line 1 P 8500m,Pressure@Line 1 P 8500m,MFR - gas@Line 2 P 500m,MFR - oil@Line 2 P 500m,MFR - bubbles@Line 2 P 500m,MFR - droplets@Line 2 P 500m,MFR - total gas@Line 2 P 500m,MFR - total liquid@Line 2 P 500m,MFR - total@Line 2 P 500m,Pressure@Line 2 P 500m,MFR - gas@Line 2 P 8500m,MFR - oil@Line 2 P 8500m,MFR - bubbles@Line 2 P 8500m,MFR - droplets@Line 2 P 8500m,MFR - total gas@Line 2 P 8500m,MFR - total liquid@Line 2 P 8500m,MFR - total@Line 2 P 8500m,Pressure@Line 2 P 8500m,MFR - gas@Mainline P 38500m,MFR - oil@Mainline P 38500m,MFR - bubbles@Mainline P 38500m,MFR - droplets@Mainline P 38500m,MFR - total gas@Mainline P 38500m,MFR - total liquid@Mainline P 38500m,MFR - total@Mainline P 38500m,Pressure@Mainline P 38500m,MFR - gas@Mainline P 500m,MFR - oil@Mainline P 500m,MFR - bubbles@Mainline P 500m,MFR - droplets@Mainline P 500m,MFR - total gas@Mainline P 500m,MFR - total liquid@Mainline P 500m,MFR - total@Mainline P 500m,Pressure@Mainline P 500m,Total MFR - gas@Well 1,Total MFR - oil@Well 1,Total MFR - total@Well 1,BHP - Zone 1@Well 1,BHT - gas - Zone 1@Well 1,BHT - oil - Zone 1@Well 1,MFR - gas - Zone 1@Well 1,MFR - oil - Zone 1@Well 1,MFR - total - Zone 1@Well 1,Std VFR - gas - Zone 1@Well 1,Std VFR - oil - Zone 1@Well 1,Total MFR - gas@Well 2,Total MFR - oil@Well 2,Total MFR - total@Well 2,BHP - Zone 1@Well 2,BHT - gas - Zone 1@Well 2,BHT - oil - Zone 1@Well 2,MFR - gas - Zone 1@Well 2,MFR - oil - Zone 1@Well 2,MFR - total - Zone 1@Well 2,Std VFR - gas - Zone 1@Well 2,Std VFR - oil - Zone 1@Well 2,Total MFR - gas@Well 3,Total MFR - oil@Well 3,Total MFR - total@Well 3,BHP - Zone 1@Well 3,BHT - gas - Zone 1@Well 3,BHT - oil - Zone 1@Well 3,MFR - gas - Zone 1@Well 3,MFR - oil - Zone 1@Well 3,MFR - total - Zone 1@Well 3,Std VFR - gas - Zone 1@Well 3,Std VFR - oil - Zone 1@Well 3,Total MFR - gas@Well 4,Total MFR - oil@Well 4,Total MFR - total@Well 4,BHP - Zone 1@Well 4,BHT - gas - Zone 1@Well 4,BHT - oil - Zone 1@Well 4,MFR - gas - Zone 1@Well 4,MFR - oil - Zone 1@Well 4,MFR - total - Zone 1@Well 4,Std VFR - gas - Zone 1@Well 4,Std VFR - oil - Zone 1@Well 4,Pressure@Wellbore1 P 600m,MFR - gas@Wellbore1 P MFR,MFR - oil@Wellbore1 P MFR,MFR - bubbles@Wellbore1 P MFR,MFR - droplets@Wellbore1 P MFR,MFR - total gas@Wellbore1 P MFR,MFR - total liquid@Wellbore1 P MFR,MFR - total@Wellbore1 P MFR,Pressure@Wellbore1 P MFR,Pressure@Wellbore2 P 600m,MFR - gas@Wellbore2 P MFR,MFR - oil@Wellbore2 P MFR,MFR - bubbles@Wellbore2 P MFR,MFR - droplets@Wellbore2 P MFR,MFR - total gas@Wellbore2 P MFR,MFR - total liquid@Wellbore2 P MFR,MFR - total@Wellbore2 P MFR,Pressure@Wellbore2 P MFR,Pressure@Wellbore3 P 600m,MFR - gas@Wellbore3 P MFR,MFR - oil@Wellbore3 P MFR,MFR - bubbles@Wellbore3 P MFR,MFR - droplets@Wellbore3 P MFR,MFR - total gas@Wellbore3 P MFR,MFR - total liquid@Wellbore3 P MFR,MFR - total@Wellbore3 P MFR,Pressure@Wellbore3 P MFR,Pressure@Wellbore4 P 600m,MFR - gas@Wellbore4 P MFR,MFR - oil@Wellbore4 P MFR,MFR - bubbles@Wellbore4 P MFR,MFR - droplets@Wellbore4 P MFR,MFR - total gas@Wellbore4 P MFR,MFR - total liquid@Wellbore4 P MFR,MFR - total@Wellbore4 P MFR,Pressure@Wellbore4 P MFR,MFR - gas@WH Choke 1,MFR - oil@WH Choke 1,MFR - liquid - 2 phase@WH Choke 1,MFR - total - 2 phase@WH Choke 1,Opening fraction@WH Choke 1,Pressure drop@WH Choke 1,Pressure Left@WH Choke 1,Pressure Right@WH Choke 1,MFR - gas@WH Choke 2,MFR - oil@WH Choke 2,MFR - liquid - 2 phase@WH Choke 2,MFR - total - 2 phase@WH Choke 2,Opening fraction@WH Choke 2,Pressure drop@WH Choke 2,Pressure Left@WH Choke 2,Pressure Right@WH Choke 2,MFR - gas@WH Choke 3,MFR - oil@WH Choke 3,MFR - liquid - 2 phase@WH Choke 3,MFR - total - 2 phase@WH Choke 3,Opening fraction@WH Choke 3,Pressure drop@WH Choke 3,Pressure Left@WH Choke 3,Pressure Right@WH Choke 3,MFR - gas@WH Choke 4,MFR - oil@WH Choke 4,MFR - liquid - 2 phase@WH Choke 4,MFR - total - 2 phase@WH Choke 4,Opening fraction@WH Choke 4,Pressure drop@WH Choke 4,Pressure Left@WH Choke 4,Pressure Right@WH Choke 4
[s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[kg/s],[kg/s],[kg/s],[bara],[C],[C],[kg/s],[kg/s],[kg/s],[Sm3/d],[Sm3/d],[kg/s],[kg/s],[kg/s],[bara],[C],[C],[kg/s],[kg/s],[kg/s],[Sm3/d],[Sm3/d],[kg/s],[kg/s],[kg/s],[bara],[C],[C],[kg/s],[kg/s],[kg/s],[Sm3/d],[Sm3/d],[kg/s],[kg/s],[kg/s],[bara],[C],[C],[kg/s],[kg/s],[kg/s],[Sm3/d],[Sm3/d],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[-],[bar],[bara],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[-],[bar],[bara],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[-],[bar],[bara],[bara],[kg/s],[kg/s],[kg/s],[kg/s],[-],[bar],[bara],[bara]
0.0,0.0,-249.33255,0.0,0.0,0.0,-249.33255,-249.33255,183.57822,0.0,-249.33229,0.0,0.0,0.0,-249.33229,-249.33229,163.92144,0.0,-249.33255,0.0,0.0,0.0,-249.33255,-249.33255,183.57822,0.0,-249.33229,0.0,0.0,0.0,-249.33229,-249.33229,163.92144,0.0,-498.66513,0.0,0.0,0.0,-498.66513,-498.66513,184.88598,0.0,-498.66820,0.0,0.0,0.0,-498.66820,-498.66820,196.93619,0.0,-124.66613,-124.66613,244.66613,18.296489,18.296489,0.0,-124.66613,-124.66613,-5762671.5,0.0,0.0,-124.66613,-124.66613,244.66613,18.296489,18.296489,0.0,-124.66613,-124.66613,-5762671.5,0.0,0.0,-124.66613,-124.66613,244.66613,18.296489,18.296489,0.0,-124.66613,-124.66613,-5762671.5,0.0,0.0,-124.66613,-124.66613,244.66613,18.296489,18.296489,0.0,-124.66613,-124.66613,-5762671.5,0.0,195.92125,0.0,-124.66614,0.0,0.0,0.0,-124.66614,-124.66614,150.33541,195.92125,0.0,-124.66614,0.0,0.0,0.0,-124.66614,-124.66614,150.33541,195.92125,0.0,-124.66614,0.0,0.0,0.0,-124.66614,-124.66614,150.33541,195.92125,0.0,-124.66614,0.0,0.0,0.0,-124.66614,-124.66614,150.33541,0.0,-124.66614,-124.66614,-124.66614,1.0000000,-13.005307,150.33541,162.55909,0.0,-124.66614,-124.66614,-124.66614,1.0000000,-13.005307,150.33541,162.55909,0.0,-124.66614,-124.66614,-124.66614,1.0000000,-13.005307,150.33541,162.55909,0.0,-124.66614,-124.66614,-124.66614,1.0000000,-13.005307,150.33541,162.55909,
10.0,0.0,-249.31875,0.0,0.0,0.0,-249.31875,-249.31875,183.57714,0.0,-249.33229,0.0,0.0,0.0,-249.33229,-249.33229,163.92144,0.0,-249.31875,0.0,0.0,0.0,-249.31875,-249.31875,183.57714,0.0,-249.33229,0.0,0.0,0.0,-249.33229,-249.33229,163.92144,0.0,-498.63396,0.0,0.0,0.0,-498.63396,-498.63396,184.82011,0.0,-496.88812,0.0,0.0,0.0,-496.88812,-496.88812,196.86897,0.0,-124.66613,-124.66613,244.66613,18.296489,18.296489,0.0,-124.66613,-124.66613,-5762671.6,0.0,0.0,-124.66613,-124.66613,244.66613,18.296489,18.296489,0.0,-124.66613,-124.66613,-5762671.6,0.0,0.0,-124.66613,-124.66613,244.66613,18.296489,18.296489,0.0,-124.66613,-124.66613,-5762671.6,0.0,0.0,-124.66613,-124.66613,244.66613,18.296489,18.296489,0.0,-124.66613,-124.66613,-5762671.6,0.0,195.92126,0.0,-124.66614,0.0,0.0,0.0,-124.66614,-124.66614,150.33541,195.92126,0.0,-124.66614,0.0,0.0,0.0,-124.66614,-124.66614,150.33541,195.92126,0.0,-124.66614,0.0,0.0,0.0,-124.66614,-124.66614,150.33541,195.92126,0.0,-124.66614,0.0,0.0,0.0,-124.66614,-124.66614,150.33541,0.0,-124.66614,-124.66614,-124.66614,1.0000000,-13.005307,150.33541,162.55909,0.0,-124.66614,-124.66614,-124.66614,1.0000000,-13.005307,150.33541,162.55909,0.0,-124.66614,-124.66614,-124.66614,1.0000000,-13.005307,150.33541,162.55909,0.0,-124.66614,-124.66614,-124.66614,1.0000000,-13.005307,150.33541,162.55909,
20.0,0.0,-249.31934,0.0,0.0,0.0,-249.31934,-249.31934,183.57685,0.0,-249.33171,0.0,0.0,0.0,-249.33171,-249.33171,163.92139,0.0,-249.31934,0.0,0.0,0.0,-249.31934,-249.31934,183.57685,0.0,-249.33171,0.0,0.0,0.0,-249.33171,-249.33171,163.92139,0.0,-498.63578,0.0,0.0,0.0,-498.63578,-498.63578,184.81983,0.0,-497.54132,0.0,0.0,0.0,-497.54132,-497.54132,196.89395,0.0,-124.66613,-124.66613,244.66613,18.296489,18.296489,0.0,-124.66613,-124.66613,-5762671.4,0.0,0.0,-124.66613,-124.66613,244.66613,18.296489,18.296489,0.0,-124.66613,-124.66613,-5762671.4,0.0,0.0,-124.66613,-124.66613,244.66613,18.296489,18.296489,0.0,-124.66613,-124.66613,-5762671.4,0.0,0.0,-124.66613,-124.66613,244.66613,18.296489,18.296489,0.0,-124.66613,-124.66613,-5762671.4,0.0,195.92125,0.0,-124.66606,0.0,0.0,0.0,-124.66606,-124.66606,150.33539,195.92125,0.0,-124.66606,0.0,0.0,0.0,-124.66606,-124.66606,150.33539,195.92125,0.0,-124.66606,0.0,0.0,0.0,-124.66606,-124.66606,150.33539,195.92125,0.0,-124.66606,0.0,0.0,0.0,-124.66606,-124.66606,150.33539,0.0,-124.66606,-124.66606,-124.66606,1.0000000,-13.005290,150.33539,162.55905,0.0,-124.66606,-124.66606,-124.66606,1.0000000,-13.005290,150.33539,162.55905,0.0,-124.66606,-124.66606,-124.66606,1.0000000,-13.005290,150.33539,162.55905,0.0,-124.66606,-124.66606,-124.66606,1.0000000,-13.005290,150.33539,162.55905,
30.0,0.0,-249.31954,0.0,0.0,0.0,-249.31954,-249.31954,183.57662,0.0,-249.33020,0.0,0.0,0.0,-249.33020,-249.33020,163.92109,0.0,-249.31954,0.0,0.0,0.0,-249.31954,-249.31954,183.57662,0.0,-249.33020,0.0,0.0,0.0,-249.33020,-249.33020,163.92109,0.0,-498.63660,0.0,0.0,0.0,-498.63660,-498.63660,184.81959,0.0,-497.58247,0.0,0.0,0.0,-497.58247,-497.58247,196.89003,0.0,-124.66599,-124.66599,244.66601,18.296489,18.296489,0.0,-124.66599,-124.66599,-5762665.1,0.0,0.0,-124.66599,-124.66599,244.66601,18.296489,18.296489,0.0,-124.66599,-124.66599,-5762665.1,0.0,0.0,-124.66599,-124.66599,244.66601,18.296489,18.296489,0.0,-124.66599,-124.66599,-5762665.1,0.0,0.0,-124.66599,-124.66599,244.66601,18.296489,18.296489,0.0,-124.66599,-124.66599,-5762665.1,0.0,195.92110,0.0,-124.66559,0.0,0.0,0.0,-124.66559,-124.66559,150.33519,195.92110,0.0,-124.66559,0.0,0.0,0.0,-124.66559,-124.66559,150.33519,195.92110,0.0,-124.66559,0.0,0.0,0.0,-124.66559,-124.66559,150.33519,195.92110,0.0,-124.66559,0.0,0.0,0.0,-124.66559,-124.66559,150.33519,0.0,-124.66559,-124.66559,-124.66559,1.0000000,-13.005197,150.33519,162.55876,0.0,-124.66559,-124.66559,-124.66559,1.0000000,-13.005197,150.33519,162.55876,0.0,-124.66559,-124.66559,-124.66559,1.0000000,-13.005197,150.33519,162.55876,0.0,-124.66559,-124.66559,-124.66559,1.0000000,-13.005197,150.33519,162.55876,
40.0,0.0,-249.31966,0.0,0.0,0.0,-249.31966,-249.31966,183.57641,0.0,-249.33008,0.0,0.0,0.0,-249.33008,-249.33008,163.92080,0.0,-249.31966,0.0,0.0,0.0,-249.31966,-249.31966,183.57641,0.0,-249.33008,0.0,0.0,0.0,-249.33008,-249.33008,163.92080,0.0,-498.63706,0.0,0.0,0.0,-498.63706,-498.63706,184.81938,0.0,-497.59136,0.0,0.0,0.0,-497.59136,-497.59136,196.88492,0.0,-124.66577,-124.66577,244.66579,18.296489,18.296489,0.0,-124.66577,-124.66577,-5762654.9,0.0,0.0,-124.66577,-124.66577,244.66579,18.296489,18.296489,0.0,-124.66577,-124.66577,-5762654.9,0.0,0.0,-124.66577,-124.66577,244.66579,18.296489,18.296489,0.0,-124.66577,-124.66577,-5762654.9,0.0,0.0,-124.66577,-124.66577,244.66579,18.296489,18.296489,0.0,-124.66577,-124.66577,-5762654.9,0.0,195.92086,0.0,-124.66540,0.0,0.0,0.0,-124.66540,-124.66540,150.33493,195.92086,0.0,-124.66540,0.0,0.0,0.0,-124.66540,-124.66540,150.33493,195.92086,0.0,-124.66540,0.0,0.0,0.0,-124.66540,-124.66540,150.33493,195.92086,0.0,-124.66540,0.0,0.0,0.0,-124.66540,-124.66540,150.33493,0.0,-124.66540,-124.66540,-124.66540,1.0000000,-13.005160,150.33493,162.55847,0.0,-124.66540,-124.66540,-124.66540,1.0000000,-13.005160,150.33493,162.55847,0.0,-124.66540,-124.66540,-124.66540,1.0000000,-13.005160,150.33493,162.55847,0.0,-124.66540,-124.66540,-124.66540,1.0000000,-13.005160,150.33493,162.55847,
50.0,0.0,-249.31997,0.0,0.0,0.0,-249.31997,-249.31997,183.57620,0.0,-249.32990,0.0,0.0,0.0,-249.32990,-249.32990,163.92056,0.0,-249.31997,0.0,0.0,0.0,-249.31997,-249.31997,183.57620,0.0,-249.32990,0.0,0.0,0.0,-249.32990,-249.32990,163.92056,0.0,-498.63771,0.0,0.0,0.0,-498.63771,-498.63771,184.81919,0.0,-497.59752,0.0,0.0,0.0,-497.59752,-497.59752,196.88017,0.0,-124.66559,-124.66559,244.66561,18.296489,18.296489,0.0,-124.66559,-124.66559,-5762646.6,0.0,0.0,-124.66559,-124.66559,244.66561,18.296489,18.296489,0.0,-124.66559,-124.66559,-5762646.6,0.0,0.0,-124.66559,-124.66559,244.66561,18.296489,18.296489,0.0,-124.66559,-124.66559,-5762646.6,0.0,0.0,-124.66559,-124.66559,244.66561,18.296489,18.296489,0.0,-124.66559,-124.66559,-5762646.6,0.0,195.92066,0.0,-124.66528,0.0,0.0,0.0,-124.66528,-124.66528,150.33472,195.92066,0.0,-124.66528,0.0,0.0,0.0,-124.66528,-124.66528,150.33472,195.92066,0.0,-124.66528,0.0,0.0,0.0,-124.66528,-124.66528,150.33472,195.92066,0.0,-124.66528,0.0,0.0,0.0,-124.66528,-124.66528,150.33472,0.0,-124.66528,-124.66528,-124.66528,1.0000000,-13.005136,150.33472,162.55823,0.0,-124.66528,-124.66528,-124.66528,1.0000000,-13.005136,150.33472,162.55823,0.0,-124.66528,-124.66528,-124.66528,1.0000000,-13.005136,150.33472,162.55823,0.0,-124.66528,-124.66528,-124.66528,1.0000000,-13.005136,150.33472,162.55823,
60.0,0.0,-249.32048,0.0,0.0,0.0,-249.32048,-249.32048,183.57600,0.0,-249.32968,0.0,0.0,0.0,-249.32968,-249.32968,163.92034,0.0,-249.32048,0.0,0.0,0.0,-249.32048,-249.32048,183.57600,0.0,-249.32968,0.0,0.0,0.0,-249.32968,-249.32968,163.92034,0.0,-498.63886,0.0,0.0,0.0,-498.63886,-498.63886,184.81899,0.0,-497.60324,0.0,0.0,0.0,-497.60324,-497.60324,196.87583,0.0,-124.66543,-124.66543,244.66545,18.296489,18.296489,0.0,-124.66543,-124.66543,-5762639.2,0.0,0.0,-124.66543,-124.66543,244.66545,18.296489,18.296489,0.0,-124.66543,-124.66543,-5762639.2,0.0,0.0,-124.66543,-124.66543,244.66545,18.296489,18.296489,0.0,-124.66543,-124.66543,-5762639.2,0.0,0.0,-124.66543,-124.66543,244.66545,18.296489,18.296489,0.0,-124.66543,-124.66543,-5762639.2,0.0,195.92048,0.0,-124.66514,0.0,0.0,0.0,-124.66514,-124.66514,150.33453,195.92048,0.0,-124.66514,0.0,0.0,0.0,-124.66514,-124.66514,150.33453,195.92048,0.0,-124.66514,0.0,0.0,0.0,-124.66514,-124.66514,150.33453,195.92048,0.0,-124.66514,0.0,0.0,0.0,-124.66514,-124.66514,150.33453,0.0,-124.66514,-124.66514,-124.66514,1.0000000,-13.005111,150.33453,162.55801,0.0,-124.66514,-124.66514,-124.66514,1.0000000,-13.005111,150.33453,162.55801,0.0,-124.66514,-124.66514,-124.66514,1.0000000,-13.005111,150.33453,162.55801,0.0,-124.66514,-124.66514,-124.66514,1.0000000,-13.005111,150.33453,162.55801,
70.0,0.0,-249.32120,0.0,0.0,0.0,-249.32120,-249.32120,183.57583,0.0,-249.32946,0.0,0.0,0.0,-249.32946,-249.32946,163.92013,0.0,-249.32120,0.0,0.0,0.0,-249.32120,-249.32120,183.57583,0.0,-249.32946,0.0,0.0,0.0,-249.32946,-249.32946,163.92013,0.0,-498.64112,0.0,0.0,0.0,-498.64112,-498.64112,184.81884,0.0,-497.60867,0.0,0.0,0.0,-497.60867,-497.60867,196.87185,0.0,-124.66528,-124.66528,244.66529,18.296489,18.296489,0.0,-124.66528,-124.66528,-5762632.3,0.0,0.0,-124.66528,-124.66528,244.66529,18.296489,18.296489,0.0,-124.66528,-124.66528,-5762632.3,0.0,0.0,-124.66528,-124.66528,244.66529,18.296489,18.296489,0.0,-124.66528,-124.66528,-5762632.3,0.0,0.0,-124.66528,-124.66528,244.66529,18.296489,18.296489,0.0,-124.66528,-124.66528,-5762632.3,0.0,195.92031,0.0,-124.66501,0.0,0.0,0.0,-124.66501,-124.66501,150.33435,195.92031,0.0,-124.66501,0.0,0.0,0.0,-124.66501,-124.66501,150.33435,195.92031,0.0,-124.66501,0.0,0.0,0.0,-124.66501,-124.66501,150.33435,195.92031,0.0,-124.66501,0.0,0.0,0.0,-124.66501,-124.66501,150.33435,0.0,-124.66501,-124.66501,-124.66501,1.0000000,-13.005086,150.33435,162.55781,0.0,-124.66501,-124.66501,-124.66501,1.0000000,-13.005086,150.33435,162.55781,0.0,-124.66501,-124.66501,-124.66501,1.0000000,-13.005086,150.33435,162.55781,0.0,-124.66501,-124.66501,-124.66501,1.0000000,-13.005086,150.33435,162.55781,
80.0,0.0,-249.32380,0.0,0.0,0.0,-249.32380,-249.32380,183.57581,0.0,-249.32926,0.0,0.0,0.0,-249.32926,-249.32926,163.91994,0.0,-249.32380,0.0,0.0,0.0,-249.32380,-249.32380,183.57581,0.0,-249.32926,0.0,0.0,0.0,-249.32926,-249.32926,163.91994,0.0,-498.64984,0.0,0.0,0.0,-498.64984,-498.64984,184.81892,0.0,-497.61393,0.0,0.0,0.0,-497.61393,-497.61393,196.86815,0.0,-124.66514,-124.66514,244.66515,18.296489,18.296489,0.0,-124.66514,-124.66514,-5762625.8,0.0,0.0,-124.66514,-124.66514,244.66515,18.296489,18.296489,0.0,-124.66514,-124.66514,-5762625.8,0.0,0.0,-124.66514,-124.66514,244.66515,18.296489,18.296489,0.0,-124.66514,-124.66514,-5762625.8,0.0,0.0,-124.66514,-124.66514,244.66515,18.296489,18.296489,0.0,-124.66514,-124.66514,-5762625.8,0.0,195.92016,0.0,-124.66489,0.0,0.0,0.0,-124.66489,-124.66489,150.33418,195.92016,0.0,-124.66489,0.0,0.0,0.0,-124.66489,-124.66489,150.33418,195.92016,0.0,-124.66489,0.0,0.0,0.0,-124.66489,-124.66489,150.33418,195.92016,0.0,-124.66489,0.0,0.0,0.0,-124.66489,-124.66489,150.33418,0.0,-124.66489,-124.66489,-124.66489,1.0000000,-13.005062,150.33418,162.55762,0.0,-124.66489,-124.66489,-124.66489,1.0000000,-13.005062,150.33418,162.55762,0.0,-124.66489,-124.66489,-124.66489,1.0000000,-13.005062,150.33418,162.55762,0.0,-124.66489,-124.66489,-124.66489,1.0000000,-13.005062,150.33418,162.55762,
90.0,0.0,-249.33073,0.0,0.0,0.0,-249.33073,-249.33073,183.57617,0.0,-249.32913,0.0,0.0,0.0,-249.32913,-249.32913,163.91977,0.0,-249.33073,0.0,0.0,0.0,-249.33073,-249.33073,183.57617,0.0,-249.32913,0.0,0.0,0.0,-249.32913,-249.32913,163.91977,0.0,-498.66752,0.0,0.0,0.0,-498.66752,-498.66752,184.81940,0.0,-497.61899,0.0,0.0,0.0,-497.61899,-497.61899,196.86470,0.0,-124.66501,-124.66501,244.66502,18.296489,18.296489,0.0,-124.66501,-124.66501,-5762619.9,0.0,0.0,-124.66501,-124.66501,244.66502,18.296489,18.296489,0.0,-124.66501,-124.66501,-5762619.9,0.0,0.0,-124.66501,-124.66501,244.66502,18.296489,18.296489,0.0,-124.66501,-124.66501,-5762619.9,0.0,0.0,-124.66501,-124.66501,244.66502,18.296489,18.296489,0.0,-124.66501,-124.66501,-5762619.9,0.0,195.92002,0.0,-124.66479,0.0,0.0,0.0,-124.66479,-124.66479,150.33403,195.92002,0.0,-124.66479,0.0,0.0,0.0,-124.66479,-124.66479,150.33403,195.92002,0.0,-124.66479,0.0,0.0,0.0,-124.66479,-124.66479,150.33403,195.92002,0.0,-124.66479,0.0,0.0,0.0,-124.66479,-124.66479,150.33403,0.0,-124.66479,-124.66479,-124.66479,1.0000000,-13.005043,150.33403,162.55745,0.0,-124.66479,-124.66479,-124.66479,1.0000000,-13.005043,150.33403,162.55745,0.0,-124.66479,-124.66479,-124.66479,1.0000000,-13.005043,150.33403,162.55745,0.0,-124.66479,-124.66479,-124.66479,1.0000000,-13.005043,150.33403,162.55745,
